Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
ПИК,Жилой комплекс Бутово парк 2,Новостройки,"Южная улица, 7",дом сдан,142718.0,Бутово парк 2 м-н,,,Ленинский городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/bp2?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=butovo_park_3,,,,https://vk.com/pikru,,55.522873,37.583381,https://2gis.com/firm/70000001041397500
Kaskad park-2,жилой комплекс,Новостройки,"ЖК Каскад Парк-2, 27",,142181.0,,,,Подольск городской округ,Московская область,Россия,,+03:00,84954889468 (отдел продаж),,,,http://kaskad-park.ru,,,,,,55.388757,37.628359,https://2gis.com/firm/70000001061029535
А101,Жилой комплекс Скандинавия,Новостройки,"Скандинавский бульвар, 12",дом сдан,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=specpaket&utm_campaign=skandinaviya,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.562906999999996,37.500499,https://2gis.com/firm/70000001036798049
А101,Жилой комплекс Скандинавия,Аренда помещений,"Скандинавский бульвар, 12",,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.562906999999996,37.500499,https://2gis.com/firm/70000001064912063
Космос,строящийся жилой комплекс,Новостройки,"жилой комплекс Космос, к4",,,Авиационный м-н,,Домодедово,Домодедово городской округ,Московская область,Россия,,+03:00,84959884422 (отдел продаж),,,,http://gk-kosmos.ru,,,,,,55.409372,37.834887,https://2gis.com/firm/70000001064237490
А101,Жилой комплекс Скандинавия,Новостройки,"Скандинавский бульвар, 12",дом сдан,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=specpaket&utm_campaign=skandinaviya,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.562484,37.501490000000004,https://2gis.com/firm/70000001036798038
А101,Жилой комплекс Скандинавия,Аренда помещений,"Скандинавский бульвар, 12",,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.562484,37.501490000000004,https://2gis.com/firm/70000001064911968
А101,Жилой комплекс Скандинавия,Аренда помещений,"Скандинавский бульвар, 12",,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.562597,37.499887,https://2gis.com/firm/70000001064912134
Kaskad park-2,жилой комплекс,Новостройки,"ЖК Каскад Парк-2, 40",,142181.0,,,,Подольск городской округ,Московская область,Россия,,+03:00,84954889468 (отдел продаж),,,,http://kaskad-park.ru,,,,,,55.38769,37.627917,https://2gis.com/firm/70000001061029240
А101,Жилой комплекс Скандинавия,Новостройки,"ЖК Скандинавия, к27",,108814.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.561728,37.501805,https://2gis.com/firm/70000001064289535
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к27",,108814.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.561728,37.501805,https://2gis.com/firm/70000001064913254
ПИК,Жилой комплекс Люберцы парк,Новостройки,"улица 8 Марта, 14 к1",,140007.0,,,Люберцы,Люберцы городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/lyubpark?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=lyubpark,,,,https://vk.com/pikru,,55.699151,37.879292,https://2gis.com/firm/70000001046050535
ПИК,Жилой комплекс Саларьево парк,Новостройки,"деревня Саларьево, к53",,108802.0,,Сосенское поселение,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/sp?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=sp,,,,https://vk.com/pikru,,55.607317,37.412856,https://2gis.com/firm/70000001055657244
Kaskad park-2,жилой комплекс,Новостройки,"ЖК Каскад Парк-2, 41",,142181.0,,,,Подольск городской округ,Московская область,Россия,,+03:00,84954889468 (отдел продаж),,,,http://kaskad-park.ru,,,,,,55.386244,37.625521,https://2gis.com/firm/70000001061029242
ПИК,Жилой комплекс Белая Дача парк,Новостройки,"Парковый микрорайон, 1 к1",дом сдан,140054.0,,,Котельники,Котельники городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/bd?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=bel_dacha,,,,https://vk.com/pikru,,55.6599,37.874696,https://2gis.com/firm/70000001041395388
А101,Жилой комплекс Скандинавия,Новостройки,"ЖК Скандинавия, к22/5",,108814.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=specpaket&utm_campaign=skandinaviya,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.559996999999996,37.507335,https://2gis.com/firm/70000001057586352
А101,Жилой комплекс Скандинавия,Новостройки,"ЖК Скандинавия, к22/4",,108814.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=specpaket&utm_campaign=skandinaviya,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.559842,37.506636,https://2gis.com/firm/70000001057680570
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к22/4",,108814.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.559842,37.506636,https://2gis.com/firm/70000001064912543
ПИК,Жилой комплекс Саларьево парк,Новостройки,"деревня Саларьево, к54",,108802.0,,Сосенское поселение,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/sp?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=sp,,,,https://vk.com/pikru,,55.606784999999995,37.412242,https://2gis.com/firm/70000001056312471
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к22/2",,108814.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.559431999999994,37.505874,https://2gis.com/firm/70000001064912619
А101,Жилой комплекс Скандинавия,Новостройки,"ЖК Скандинавия, к22/3",,108814.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=specpaket&utm_campaign=skandinaviya,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.559138,37.506640999999995,https://2gis.com/firm/70000001057680555
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к22/3",,108814.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.559138,37.506640999999995,https://2gis.com/firm/70000001064912566
ПИК,Жилой комплекс Бутово парк 2,Новостройки,"Новое шоссе, к26",,142720.0,Бутово парк 2 м-н,,,Ленинский городской округ,Московская область,Россия,Пн: 09:00-12:00; Вт: 09:00-12:00; Ср: 09:00-12:00; Чт: 09:00-12:00; Пт: 09:00-12:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/bp2?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=butovo_park_3,,,,https://vk.com/pikru,,55.525721999999995,37.583969,https://2gis.com/firm/70000001058689614
А101,Жилой комплекс Скандинавия,Новостройки,"ЖК Скандинавия, к22/1",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=specpaket&utm_campaign=skandinaviya,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.558863,37.506159000000004,https://2gis.com/firm/70000001057680591
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к22/1",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.558863,37.506159000000004,https://2gis.com/firm/70000001064912595
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к23/6",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.558953,37.504534,https://2gis.com/firm/70000001064912454
А101,Жилой комплекс Скандинавия,Аренда помещений,"Скандинавский бульвар, 17",,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.557908999999995,37.510032,https://2gis.com/firm/70000001064912235
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к23/7",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.55868100000001,37.505258000000005,https://2gis.com/firm/70000001064912527
А101,Жилой комплекс Скандинавия,Новостройки,"ЖК Скандинавия, к23/3",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=specpaket&utm_campaign=skandinaviya,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.558426000000004,37.503059,https://2gis.com/firm/70000001052635357
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к23/3",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.558426000000004,37.503059,https://2gis.com/firm/70000001064912419
А101,Жилой комплекс Скандинавия,Новостройки,"ЖК Скандинавия, к23/4",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=specpaket&utm_campaign=skandinaviya,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.55820799999999,37.503890999999996,https://2gis.com/firm/70000001052635371
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к23/4",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.55820799999999,37.503890999999996,https://2gis.com/firm/70000001064912423
А101,Жилой комплекс Скандинавия,Аренда помещений,"Скандинавский бульвар, 19",,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.556849,37.510564,https://2gis.com/firm/70000001064912211
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к23/5",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.557866000000004,37.504272,https://2gis.com/firm/70000001064912490
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к23/5",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.557866000000004,37.504272,https://2gis.com/firm/70000001064912500
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к23/2",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.558098,37.50244,https://2gis.com/firm/70000001064912373
ПИК,Жилой комплекс Люберцы парк,Новостройки,"улица 8 Марта, 18 к3",,140007.0,,,Люберцы,Люберцы городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/lyubpark?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=lyubpark,,,,https://vk.com/pikru,,55.699667000000005,37.884229,https://2gis.com/firm/70000001041395665
А101,Жилой комплекс Южные сады,Новостройки,"жилой комплекс Южные Сады, к1/3",,108814.0,,Южное Бутово район,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/yujnie-sadi/?type=realty&utm_source=2gis&utm_medium=specpaket&utm_campaign=yujnie-sadi,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.546761,37.51382,https://2gis.com/firm/70000001052555949
Optima family park,жилой комплекс,Новостройки,"микрорайон Спасское, 32Б",,141253.0,Спасское м-н,,,Пушкинский городской округ,Московская область,Россия,,+03:00,89168220033 (единый номер - пн-пт 9:00-18:00),,,,,,,,,,56.095215,37.889047,https://2gis.com/firm/70000001048760616
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к23/1",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.55775,37.503277000000004,https://2gis.com/firm/70000001064912388
ПИК,Жилой комплекс Жулебино парк,Новостройки,"3 Почтовое отделение, к13",,140011.0,,,Люберцы,Люберцы городской округ,Московская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/zhulebino?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=zhulebino,,,,https://vk.com/pikru,,55.675917000000005,37.865176,https://2gis.com/firm/70000001058658113
ПИК,Жилой комплекс Люберцы парк,Новостройки,"улица 8 Марта, вл16 к5",дом сдан,140007.0,,,Люберцы,Люберцы городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/lyubpark?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=lyubpark,,,,https://vk.com/pikru,,55.698616,37.884156,https://2gis.com/firm/70000001041395633
ПИК,Жилой комплекс Люберцы парк,Новостройки,"улица 8 Марта, 20 к2",дом сдан,140007.0,,,Люберцы,Люберцы городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/lyubpark?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=lyubpark,,,,https://vk.com/pikru,,55.699202,37.88512,https://2gis.com/firm/70000001041395673
ПИК,Жилой комплекс Саларьево парк,Новостройки,"квартал 28-й, 1 к7",,108802.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/sp?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=sp,,,,https://vk.com/pikru,,55.603908999999994,37.416768,https://2gis.com/firm/70000001045531998
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к35/2",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.556785999999995,37.499767,https://2gis.com/firm/70000001064913242
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к36/1",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.556452,37.501265000000004,https://2gis.com/firm/70000001064913177
ПИК,Жилой комплекс Белая Дача парк,Новостройки,"Парковый микрорайон, 2",дом сдан,140054.0,,,Котельники,Котельники городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/bd?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=bel_dacha,,,,https://vk.com/pikru,,55.658586,37.873691,https://2gis.com/firm/70000001041395314
А101,Жилой комплекс Скандинавия,Новостройки,"ЖК Скандинавия, к36/2",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.556142,37.500485999999995,https://2gis.com/firm/70000001063345203
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к36/2",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.556142,37.500485999999995,https://2gis.com/firm/70000001064913138
А101,Жилой комплекс Скандинавия,Аренда помещений,"улица Эдварда Грига, 17",,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.554885,37.507081,https://2gis.com/firm/70000001064912367
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к14/1",,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.555203000000006,37.504853000000004,https://2gis.com/firm/70000001064911890
А101,Жилой комплекс Скандинавия,Аренда помещений,"улица Эдварда Грига, 18 к1",,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.554552,37.505462,https://2gis.com/firm/70000001064912276
ПРОФИ-ИНВЕСТ,ЖК Ривер-Парк,Новостройки,"Советская улица, к6",дом сдан,141069.0,Первомайский м-н,,Королёв,Королёв городской округ,Московская область,Россия,,+03:00,84951500111 (отдел продаж: пн-пт 10:00-20:00; сб 10:00-19:00; вс 10:00-16:00),89670575747 (отдел продаж: пн-пт 10:00-20:00; сб 10:00-19:00; вс 10:00-16:00),,9792818@mail.ru,http://профи-инвест.рф/жк-ривер-парк/?rs=2gis,,,,,,55.94094200000001,37.869536,https://2gis.com/firm/70000001019561818
ПИК,Жилой комплекс Одинцово-1,Новостройки,"Одинцово-1 жк, к1/18/2",,143001.0,Одинцово-1 м-н,,Одинцово,Одинцовский городской округ,Московская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/odin?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=odincovo1,,,,https://vk.com/pikru,,55.656096,37.273484,https://2gis.com/firm/70000001050880619
А101,Жилой комплекс Скандинавия,Аренда помещений,"улица Эдварда Грига, 18 к4",,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.55376,37.505311,https://2gis.com/firm/70000001064912305
А101,Жилой комплекс Скандинавия,Аренда помещений,"улица Эдварда Грига, 18 к3",,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.55344399999999,37.506968,https://2gis.com/firm/70000001064912290
А101,Жилой комплекс Скандинавия,Аренда помещений,"ЖК Скандинавия, к15",,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.554403,37.500585,https://2gis.com/firm/70000001064912467
Икша Парк,жилой комплекс,Новостройки,"Школьная, к4а",,141860.0,,,,Дмитровский городской округ,Московская область,Россия,,+03:00,84952259034,89775749134,,,http://икшапарк.рф,,,,,,56.171787,37.500377,https://2gis.com/firm/70000001052558959
ПИК,Жилой комплекс Саларьево парк,Новостройки,"деревня Саларьево, к28",дом сдан,108802.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/sp?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=sp,,,,https://vk.com/pikru,,55.603228,37.411143,https://2gis.com/firm/70000001041396870
ПИК,Жилой комплекс Саларьево парк,Новостройки,"квартал 28-й, 2 к2",дом сдан,108802.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/sp?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=sp,,,,https://vk.com/pikru,,55.602341,37.413022,https://2gis.com/firm/70000001041396921
Жилой Квартал Сити,,Новостройки,"Шмитовский проезд, 39 к2",,123290.0,,Пресненский район,Москва,,Москва,Россия,,+03:00,84951250617,,,,http://head-liner.ru,,,,https://vk.com/zhkheadliner,,55.753629000000004,37.524878,https://2gis.com/firm/70000001047920659
VESNA,строящийся жилой комплекс,Новостройки,"Ясная, к2 стр",,143362.0,,,Апрелевка,Наро-Фоминский городской округ,Московская область,Россия,,+03:00,,,,,http://www.ingrad.ru/projects/vesna,,,,,,55.533868000000005,37.063215,https://2gis.com/firm/70000001049152212
VESNA,строящийся жилой комплекс,Новостройки,"Ясная, к4/2",,143362.0,,,Апрелевка,Наро-Фоминский городской округ,Московская область,Россия,,+03:00,,,,,http://www.ingrad.ru/projects/vesna,,,,,,55.533264,37.063857,https://2gis.com/firm/70000001056442922
VESNA,строящийся жилой комплекс,Новостройки,"Ясная, к4/1",,143362.0,,,Апрелевка,Наро-Фоминский городской округ,Московская область,Россия,,+03:00,,,,,http://www.ingrad.ru/projects/vesna,,,,,,55.533105000000006,37.06317,https://2gis.com/firm/70000001056442937
VESNA,строящийся жилой комплекс,Новостройки,"Ясная, к3 стр",,143362.0,,,Апрелевка,Наро-Фоминский городской округ,Московская область,Россия,,+03:00,,,,,http://www.ingrad.ru/projects/vesna,,,,,,55.533136,37.062185,https://2gis.com/firm/70000001049152221
ПИК,Жилой комплекс Саларьево парк,Новостройки,"квартал 28-й, 1 к3",дом сдан,108802.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/sp?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=sp,,,,https://vk.com/pikru,,55.600986999999996,37.412255,https://2gis.com/firm/70000001041397160
ПИК,Жилой комплекс Саларьево парк,Новостройки,"квартал 28-й, 1 к1",,108802.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/sp?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=sp,,,,https://vk.com/pikru,,55.600283,37.413514,https://2gis.com/firm/70000001041397210
ПИК,Жилой комплекс Саларьево парк,Новостройки,"квартал 28-й, 1 к4",дом сдан,108802.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/sp?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=sp,,,,https://vk.com/pikru,,55.601287,37.414489,https://2gis.com/firm/70000001042643853
ПИК,Жилой комплекс Бунинские луга,Новостройки,"Александры Монаховой улица, к2/4/2",дом сдан,108814.0,,Сосенское поселение,,,Москва,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/luga?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=buninskie_luga,,,,https://vk.com/pikru,,55.545269,37.484198,https://2gis.com/firm/70000001041399506
